"","handle","time","tweet","joy","fear","sadness","disgust","anger"
"80","realDonaldTrump","2017-02-06 16:32:24","The failing @nytimes writes total fiction concerning me. They have gotten it wrong for two years, and now are making up stories &amp; sources!","0.020316","0.104856","0.739039","0.143509","0.12601"
"81","realDonaldTrump","2017-02-06 12:07:55","I call my own shots, largely based on an accumulation of data, and everyone knows it. Some FAKE NEWS media, in order to marginalize, lies!","0.019716","0.193314","0.71166","0.074113","0.122954"
"82","realDonaldTrump","2017-02-06 12:01:53","Any negative polls are fake news, just like the CNN, ABC, NBC polls in the election. Sorry, people want border security and extreme vetting.","0.00799","0.082145","0.606724","0.233944","0.178947"
"83","realDonaldTrump","2017-02-06 03:36:54","What an amazing comeback and win by the Patriots. Tom Brady, Bob Kraft and Coach B are total winners. Wow!","0.496361","0.015252","0.40835","0.046721","0.110169"
"84","realDonaldTrump","2017-02-05 22:49:42","Enjoy the #SuperBowl and then we continue: MAKE AMERICA GREAT AGAIN!","0","0","0","0","0"
"85","realDonaldTrump","2017-02-05 20:42:33","I have instructed Homeland Security to check people coming into our country VERY CAREFULLY. The courts are making the job very difficult!","0.17708","0.165525","0.351033","0.120621","0.260193"
"86","realDonaldTrump","2017-02-05 20:39:05","Just cannot  believe a judge would put our country in such peril. If something happens blame him and court system. People pouring in. Bad!","0.003336","0.031217","0.331667","0.484626","0.304223"
"87","realDonaldTrump","2017-02-05 00:48:12","The judge opens up our country to potential terrorists and others that do not have our best interests at heart. Bad people are very happy!","0.459257","0.036721","0.417672","0.075261","0.037471"
"88","realDonaldTrump","2017-02-05 00:34:50","Interview with @oreillyfactor on Fox Network - 4:00 P.M. (prior to Super Bowl). Enjoy!","0","0","0","0","0"
"89","realDonaldTrump","2017-02-04 23:37:59","Why aren't the lawyers looking at and using the Federal Court decision in Boston, which is at conflict with ridiculous lift ban decision?","0","0","0","0","0"
"90","realDonaldTrump","2017-02-04 21:44:49","Because the ban was lifted by a judge, many very bad and dangerous people may be pouring into our country. A terrible decision","0.015156","0.266359","0.333675","0.395207","0.19365"
"91","realDonaldTrump","2017-02-04 20:44:07","What is our country coming to when a judge can halt a Homeland Security travel ban and anyone, even with bad intentions, can come into U.S.?","0.0145","0.166622","0.408944","0.290182","0.249163"
"92","realDonaldTrump","2017-02-04 14:26:10","MAKE AMERICA GREAT AGAIN!","0.82454","0.018403","0.084259","0.089721","0.049443"
"93","realDonaldTrump","2017-02-04 13:39:27","After being forced to apologize for its bad and inaccurate coverage of me after winning the election, the FAKE NEWS @nytimes is still lost!","0.015121","0.100316","0.673796","0.219565","0.152306"
"94","realDonaldTrump","2017-02-04 13:12:02","The opinion of this so-called judge, which essentially takes law-enforcement away from our country, is ridiculous and will be overturned!","0.009357","0.071845","0.353339","0.389057","0.329538"
"95","realDonaldTrump","2017-02-04 13:06:39","Interesting that certain Middle-Eastern countries agree with the ban. They know if certain people are allowed in it's death &amp; destruction!","0.01452","0.084564","0.697034","0.246235","0.077683"
"96","realDonaldTrump","2017-02-04 12:59:35","When a country is no longer able to say who can, and who cannot , come in &amp; out, especially for reasons of safety &amp;.security - big trouble!","0.024209","0.051585","0.853108","0.06654","0.098608"
"97","realDonaldTrump","2017-02-04 03:07:47","Countries charge U.S. companies taxes or tariffs while the U.S. charges them nothing or little.We should charge them SAME as they charge us!","0.00808","0.04706","0.11384","0.768434","0.140641"
"98","realDonaldTrump","2017-02-03 23:08:38","We must keep ""evil"" out of our country!","0.026044","0.161631","0.424298","0.228702","0.222385"
"99","realDonaldTrump","2017-02-03 12:51:58","A new radical Islamic terrorist has just attacked in Louvre Museum in Paris. Tourists were locked down. France on edge again. GET SMART U.S.","0","0","0","0","0"
"100","realDonaldTrump","2017-02-03 11:48:16","Professional anarchists, thugs and paid protesters are proving the point of the millions of people who voted to MAKE AMERICA GREAT AGAIN!","0.141183","0.038233","0.270611","0.54569","0.081914"
